game_id,commence_time,home_team,away_team,kickoff_local,nfl_week_index,home_line_model,spread_mu,spread_sigma,p_home_cover_at_model,p_home_cover_at_zero,home_score,away_score,winner
2024_01_BAL_KC,,KC,BAL,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,27.0,20.0,home
2024_01_GB_PHI,,PHI,GB,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,34.0,29.0,home
2024_01_PIT_ATL,,ATL,PIT,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,10.0,18.0,away
2024_01_ARI_BUF,,BUF,ARI,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,34.0,28.0,home
2024_01_TEN_CHI,,CHI,TEN,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,24.0,17.0,home
2024_01_NE_CIN,,CIN,NE,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,10.0,16.0,away
2024_01_HOU_IND,,IND,HOU,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,27.0,29.0,away
2024_01_JAX_MIA,,MIA,JAX,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,20.0,17.0,home
2024_01_CAR_NO,,NO,CAR,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,47.0,10.0,home
2024_01_MIN_NYG,,NYG,MIN,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,6.0,28.0,away
2024_01_LV_LAC,,LAC,LV,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,22.0,10.0,home
2024_01_DEN_SEA,,SEA,DEN,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,26.0,20.0,home
2024_01_DAL_CLE,,CLE,DAL,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,17.0,33.0,away
2024_01_WAS_TB,,TB,WAS,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,37.0,20.0,home
2024_01_LA_DET,,DET,LA,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,26.0,20.0,home
2024_01_NYJ_SF,,SF,NYJ,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,32.0,19.0,home
2024_02_BUF_MIA,,MIA,BUF,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,10.0,31.0,away
2024_02_LV_BAL,,BAL,LV,,,-3.0,3.0,13.5,0.6716393567181148,0.5879295521290574,23.0,26.0,away
